Scheme Code,Scheme Name
119028,DSP BlackRock Natural Resources and New Energy Fund - Direct Plan - Growth
119033,DWS Low Duration Fund - Direct Plan - Growth
119038,DWS Ultra Short Term Fund - Direct Plan - Growth
119049,DWS Cash Opportunities Fund - Direct Plan - Growth
119053,Tata Balanced Fund -Direct Plan- Growth
119054,DWS Gilt Fund - Direct Plan - Growth
119060,HDFC TaxSaver -Direct Plan - Growth Option
119062,HDFC Premier Multicap -Direct Plan - Growth Option
119069,HDFC Income Fund -Direct Plan - Growth Option
119071,DSP BlackRock Midcap Fund - Direct Plan - Growth
119075,HDFC High Interest Fund - Dynamic Plan -Direct Plan - Growth Option
119076,DSP BlackRock Equity Fund - Direct Plan - Growth
119079,HDFC Regular Savings Fund -Direct Plan - Growth Option
119081,HDFC HIF Short Term -Direct Plan - Growth Option
119082,DSP BlackRock Credit Risk Fund - Direct Plan - Growth
119091,HDFC Liquid Fund -Direct Plan - Growth Option
119092,HDFC CM Savings -Direct Plan - Growth Option
119096,DSP BlackRock Focus Fund - Direct Plan - Growth
119097,Tata Dynamic Bond Fund- Direct Plan-Growth
119099,DSP BlackRock Government Securities Fund - Direct Plan - Growth
119104,Tata Corporate Bond Fund- Direct Plan-Growth
119106,DSP BlackRock Savings Fund - Direct Plan - Growth
119110,HDFC CM Call Plan -Direct Plan - Growth Option
119112,HDFC Floating Rate Income Fund Long -Direct Plan - Growth Option
119114,HDFC Gilt Fund Short Term Plan -Direct Plan - Growth Option
119116,HDFC Gilt Fund Long Term Plan -Direct Plan - Growth Option
119118,HDFC MF MIP LTP -Direct Plan - Growth Option
119121,HDFC MF MIP STP -Direct Plan - Growth Option
119125,DSP BlackRock Liquidity Fund - Direct Plan - Growth
119127,Tata Medium Term Fund- Direct Plan- Growth
119128,HDFC Equity Savings Fund -Direct Plan - Growth Option
119131,HDFC Multiple Yield Fund Plan 2005-Direct Plan - Growth Option
119133,Indiabulls Blue Chip Fund - Direct Plan - Growth Option
119135,Indiabulls Liquid Fund - Direct Plan - Growth Option
119140,Morgan Stanley Growth Fund - Direct Growth Plan
119141,Morgan Stanley Growth Fund -  Direct Dividend Plan
119143,Indiabulls Ultra Short Term Fund - Direct Plan - Growth Option
119148,Essel Large Cap Equity Fund-Direct Plan-Growth Option
119150,Morgan Stanley A.C.E. Fund-Direct Growth Plan
119151,ESSEL FLEXIBLE INCOME FUND-DIRECT PLAN-GROWTH OPTION
119156,Essel Regular Savings Fund-Direct Plan-Growth Option
119160,Tata Large Cap Fund -Direct Plan Growth
119164,Essel Liquid Fund-Direct Plan-Growth Option
119165,Morgan Stanley Active Bond Fund - Direct Growth Plan
119168,Essel Short Term Fund-Direct Plan-Growth Option
119172,Tata Ethical Fund -Direct Plan Growth
119173,Morgan Stanley Liquid Fund - Direct Growth Plan
119176,Essel 3 in 1 Fund-Direct Plan-Growth Option
